fecha_hora,cantidad_pasos,dias
2018-05-09,49915.0,Wednesday
2018-05-10,47745.0,Thursday
2018-05-11,50275.0,Friday
2018-05-12,45813.0,Saturday
2018-05-13,38839.0,Sunday
2018-05-14,48050.0,Monday
2018-05-15,47896.0,Tuesday
2018-05-16,46209.0,Wednesday
2018-05-17,48716.0,Thursday
2018-05-18,53458.0,Friday
2018-05-19,43850.0,Saturday
2018-05-20,37125.0,Sunday
2018-05-21,46627.0,Monday
2018-05-22,48025.0,Tuesday
2018-05-23,45658.0,Wednesday
2018-05-24,56325.0,Thursday
2018-05-25,36757.0,Friday
2018-05-26,40898.0,Saturday
2018-05-27,36419.0,Sunday
2018-05-28,44249.0,Monday
2018-05-29,48060.0,Tuesday
2018-05-30,45307.0,Wednesday
2018-05-31,48069.0,Thursday
2018-06-01,43349.0,Friday
2018-06-02,42642.0,Saturday
2018-06-03,35693.0,Sunday
2018-06-04,42555.0,Monday
2018-06-05,45862.0,Tuesday
2018-06-06,46033.0,Wednesday
2018-06-07,46875.0,Thursday
2018-06-08,51873.0,Friday
2018-06-09,45745.0,Saturday
2018-06-10,35348.0,Sunday
2018-06-11,45149.0,Monday
2018-06-12,44471.0,Tuesday
2018-06-13,45785.0,Wednesday
2018-06-14,40543.0,Thursday
2018-06-15,52387.0,Friday
2018-06-16,34130.0,Saturday
2018-06-17,34369.0,Sunday
2018-06-18,43542.0,Monday
2018-06-19,49412.0,Tuesday
2018-06-20,29428.0,Wednesday
2018-06-21,42149.0,Thursday
2018-06-22,48624.0,Friday
2018-06-23,40744.0,Saturday
2018-06-24,34255.0,Sunday
2018-06-25,38312.5,Monday
2018-06-26,42370.0,Tuesday
2018-06-27,48293.0,Wednesday
2018-06-28,48170.0,Thursday
2018-06-29,52230.0,Friday
2018-06-30,32740.0,Saturday
2018-07-01,30004.0,Sunday
2018-07-02,44289.0,Monday
2018-07-03,46108.0,Tuesday
2018-07-04,46669.0,Wednesday
2018-07-05,46014.0,Thursday
2018-07-06,51226.0,Friday
2018-07-07,38678.0,Saturday
2018-07-08,37028.0,Sunday
2018-07-09,30377.0,Monday
2018-07-10,43739.0,Tuesday
2018-07-11,47533.0,Wednesday
2018-07-12,49618.0,Thursday
2018-07-13,54061.0,Friday
2018-07-14,47156.0,Saturday
2018-07-15,39851.0,Sunday
2018-07-16,47438.0,Monday
2018-07-17,44873.0,Tuesday
2018-07-18,44304.0,Wednesday
2018-07-19,43702.0,Thursday
2018-07-20,46247.0,Friday
2018-07-21,45071.0,Saturday
2018-07-22,42882.0,Sunday
2018-07-23,43598.0,Monday
2018-07-24,42855.0,Tuesday
2018-07-25,44199.0,Wednesday
2018-07-26,42655.0,Thursday
2018-07-27,46991.0,Friday
2018-07-28,39138.0,Saturday
2018-07-29,34834.0,Sunday
2018-07-30,41217.0,Monday
2018-07-31,42866.0,Tuesday
2018-08-01,43846.0,Wednesday
2018-08-02,44166.0,Thursday
2018-08-03,48841.0,Friday
2018-08-04,39663.0,Saturday
2018-08-05,40356.0,Sunday
2018-08-06,42028.0,Monday
2018-08-07,42409.0,Tuesday
2018-08-08,37645.0,Wednesday
2018-08-09,45550.0,Thursday
2018-08-10,50404.0,Friday
2018-08-11,42170.0,Saturday
2018-08-12,41201.0,Sunday
2018-08-13,42543.0,Monday
2018-08-14,44455.0,Tuesday
2018-08-15,46799.0,Wednesday
2018-08-16,47031.0,Thursday
2018-08-17,51169.0,Friday
2018-08-18,41208.0,Saturday
2018-08-19,35102.0,Sunday
2018-08-20,34953.0,Monday
2018-08-21,43685.0,Tuesday
2018-08-22,44104.0,Wednesday
2018-08-23,45555.0,Thursday
2018-08-24,48000.0,Friday
2018-08-25,40181.0,Saturday
2018-08-26,34462.0,Sunday
2018-08-27,41270.0,Monday
2018-08-28,43079.0,Tuesday
2018-08-29,45779.0,Wednesday
2018-08-30,40530.0,Thursday
2018-08-31,46513.0,Friday
2018-09-01,39093.0,Saturday
2018-09-02,37172.0,Sunday
2018-09-03,41286.0,Monday
2018-09-04,42387.0,Tuesday
2018-09-05,43582.0,Wednesday
2018-09-06,45185.0,Thursday
2018-09-07,48600.0,Friday
2018-09-08,42370.0,Saturday
2018-09-09,35522.0,Sunday
2018-09-10,41239.0,Monday
2018-09-11,43451.0,Tuesday
2018-09-12,37713.0,Wednesday
2018-09-13,43985.0,Thursday
2018-09-14,46884.0,Friday
2018-09-15,39587.0,Saturday
2018-09-16,32054.0,Sunday
2018-09-17,41877.0,Monday
2018-09-18,42395.0,Tuesday
2018-09-19,43447.0,Wednesday
2018-09-20,48389.0,Thursday
2018-09-21,47627.0,Friday
2018-09-22,38821.0,Saturday
2018-09-23,32654.0,Sunday
2018-09-24,37834.0,Monday
2018-09-25,41299.5,Tuesday
2018-09-26,44765.0,Wednesday
2018-09-27,45028.0,Thursday
2018-09-28,46355.0,Friday
2018-09-29,31670.0,Saturday
2018-09-30,31855.0,Sunday
2018-10-01,38463.0,Monday
2018-10-02,38784.0,Tuesday
2018-10-03,40585.0,Wednesday
2018-10-04,35389.0,Thursday
2018-10-05,38462.0,Friday
2018-10-06,27061.0,Saturday
2018-10-07,29242.0,Sunday
2018-10-08,39234.0,Monday
2018-10-09,41674.0,Tuesday
2018-10-10,44678.0,Wednesday
2018-10-11,45004.0,Thursday
2018-10-12,49378.0,Friday
2018-10-13,48566.0,Saturday
2018-10-14,43555.0,Sunday
2018-10-15,38987.0,Monday
2018-10-16,45216.0,Tuesday
2018-10-17,43904.0,Wednesday
2018-10-18,45726.0,Thursday
2018-10-19,49308.0,Friday
2018-10-20,39799.0,Saturday
2018-10-21,33441.0,Sunday
2018-10-22,42078.0,Monday
2018-10-23,43481.0,Tuesday
2018-10-24,37967.0,Wednesday
2018-10-25,47466.0,Thursday
2018-10-26,49594.0,Friday
2018-10-27,44304.0,Saturday
2018-10-28,40007.0,Sunday
2018-10-29,42179.0,Monday
2018-10-30,39564.0,Tuesday
2018-10-31,44485.0,Wednesday
2018-11-01,45803.0,Thursday
2018-11-02,48426.0,Friday
2018-11-03,44773.0,Saturday
2018-11-04,41904.0,Sunday
2018-11-05,43901.0,Monday
2018-11-06,44503.0,Tuesday
2018-11-07,45013.0,Wednesday
2018-11-08,47191.0,Thursday
2018-11-09,50983.0,Friday
2018-11-10,32090.0,Saturday
2018-11-11,30629.0,Sunday
2018-11-12,41030.0,Monday
2018-11-13,39268.0,Tuesday
2018-11-14,46456.0,Wednesday
2018-11-15,48789.0,Thursday
2018-11-16,49971.0,Friday
2018-11-17,41885.0,Saturday
2018-11-18,39953.0,Sunday
2018-11-19,36609.0,Monday
2018-11-20,44357.0,Tuesday
2018-11-21,44350.0,Wednesday
2018-11-22,46924.0,Thursday
2018-11-23,50136.0,Friday
2018-11-24,33639.0,Saturday
2018-11-25,32919.0,Sunday
2018-11-26,42383.0,Monday
2018-11-27,44068.0,Tuesday
2018-11-28,43724.0,Wednesday
2018-11-29,19728.0,Thursday
2018-11-30,23177.0,Friday
2018-12-01,26626.0,Saturday
2018-12-02,30075.0,Sunday
2018-12-03,44773.0,Monday
2018-12-04,45596.0,Tuesday
2018-12-05,46191.0,Wednesday
2018-12-06,49450.0,Thursday
2018-12-07,52638.0,Friday
2018-12-08,45924.0,Saturday
2018-12-09,35909.0,Sunday
2018-12-10,45948.0,Monday
2018-12-11,42742.0,Tuesday
2018-12-12,48061.0,Wednesday
2018-12-13,42736.0,Thursday
2018-12-14,48144.0,Friday
2018-12-15,46942.0,Saturday
2018-12-16,41072.0,Sunday
2018-12-17,43066.0,Monday
2018-12-18,45828.0,Tuesday
2018-12-19,47423.0,Wednesday
2018-12-20,47453.0,Thursday
2018-12-21,52702.0,Friday
2018-12-22,44803.0,Saturday
2018-12-23,33557.0,Sunday
2018-12-24,26332.0,Monday
2018-12-25,29139.0,Tuesday
2018-12-26,44624.0,Wednesday
2018-12-27,45929.0,Thursday
2018-12-28,47832.0,Friday
2018-12-29,35446.0,Saturday
2018-12-30,21559.0,Sunday
2018-12-31,22599.0,Monday
2019-01-01,27038.0,Tuesday
2019-01-02,47080.0,Wednesday
2019-01-03,46194.0,Thursday
2019-01-04,42887.0,Friday
2019-01-05,25650.0,Saturday
2019-01-06,35546.0,Sunday
2019-01-07,39580.0,Monday
2019-01-08,44266.0,Tuesday
2019-01-09,31199.0,Wednesday
2019-01-10,34330.0,Thursday
2019-01-11,45439.0,Friday
2019-01-12,35187.0,Saturday
2019-01-13,18076.0,Sunday
2019-01-14,39057.0,Monday
2019-01-15,34062.0,Tuesday
2019-01-16,40063.0,Wednesday
2019-01-17,40492.0,Thursday
2019-01-18,42189.0,Friday
2019-01-19,22774.0,Saturday
2019-01-20,33980.0,Sunday
2019-01-21,38456.0,Monday
2019-01-22,38090.0,Tuesday
2019-01-23,38574.0,Wednesday
2019-01-24,39432.0,Thursday
2019-01-25,39538.0,Friday
2019-01-26,32590.0,Saturday
2019-01-27,32339.0,Sunday
2019-01-28,38081.0,Monday
2019-01-29,37742.0,Tuesday
2019-01-30,39326.0,Wednesday
2019-01-31,43766.0,Thursday
2019-02-01,36179.0,Friday
2019-02-02,38443.0,Saturday
